# ref_id x y z occupancy n_extra
376835 -5.43053745 3.63874084 -48.18064208 2 1
376842 -69.69836523 9.00618682 -49.86099152 2 1
376844 -71.56945429 8.90857541 -48.11172690 2 1
376848 -67.91252863 8.86370877 -48.11263929 2 1
376850 -62.58943015 8.85932959 -49.93405581 2 1
376854 -58.94526306 8.96371354 -49.94089881 2 1
376910 -8.89751885 8.92284504 -50.07381241 2 1
376919 -1.79439532 7.16654651 -48.06637373 2 1
376925 -67.80885709 10.62560633 -49.81962451 2 1
376927 -66.05520643 10.65037467 -48.13039989 2 1
376931 -62.56318218 10.61250793 -48.10304057 2 1
376936 -60.64013671 12.45297940 -48.12136554 2 1
377357 -3.65383071 0.05281436 -46.34051110 2 1
377430 -8.87854344 5.47104567 -46.38880440 2 1
377434 -5.41700401 5.37313570 -46.32623080 2 1
377444 -71.51210200 8.93212171 -44.57579620 2 1
377446 -66.07426110 9.07828750 -46.29841836 2 1
377447 -66.05430699 7.14536853 -44.65468148 2 1
377450 -62.43849238 8.99262839 -46.40434619 2 1
377456 -60.74071043 9.04018349 -44.58136179 2 1
377511 -8.98605790 7.08086768 -44.46909238 2 1
377521 -71.49963428 10.73261552 -46.39996173 2 1
377524 -71.51462079 12.52871187 -44.64302499 2 1
377527 -66.11736275 10.74376935 -44.57051528 2 1
377533 -60.75199804 10.68214163 -46.50454358 2 1
377535 -58.93671827 10.67149399 -44.58729022 2 1
377537 -57.22873177 10.67398167 -46.30273217 2 1
377539 -55.37508505 10.86042064 -44.61783170 2 1
377966 -66.07784978 5.32807789 -42.89454222 2 1
377968 -67.88298439 5.32202228 -41.00232655 2 1
377972 -64.26869934 5.46504730 -41.11451755 2 1
378030 -9.03791280 5.37213439 -42.76354758 2 1
378038 -1.65989097 5.42588448 -42.87762981 2 1
378042 -69.71262307 8.84236857 -42.95857790 2 1
378043 -69.66260326 7.16106091 -41.11915660 2 1
378044 -71.41343606 8.90557324 -41.00919930 2 1
378045 -67.84965853 7.08141142 -42.88936407 2 1
378046 -66.01426819 8.94476747 -42.91907230 2 1
378050 -62.58798760 9.00741869 -42.87958867 2 1
378052 -64.36681189 8.91582750 -41.14539860 2 1
378054 -59.01306583 8.96394481 -42.82929063 2 1
378100 -21.47142114 8.95325014 -41.02881697 2 1
378117 -3.56466953 7.05245166 -42.79368718 2 1
378131 -62.66230875 10.58462652 -40.93468691 2 1
378135 -58.99066087 10.75741424 -40.99503918 2 1
378137 -57.25956051 10.84601614 -42.78117485 2 1
378138 -55.40650368 12.59941390 -42.77403444 2 1
378139 -55.24684987 10.71634145 -41.01386224 2 1
378144 -53.61079374 12.52839602 -41.10193762 2 1
378240 -3.49118935 -12.41024667 -37.37556475 2 1
378480 -3.67813249 -1.81756425 -37.33202897 2 1
378566 -66.19693301 5.43681064 -39.26601435 2 1
378568 -67.97319144 5.33401678 -37.45509810 2 1
378570 -62.64719454 5.41566568 -39.27032960 2 1
378616 -25.02964203 5.25149286 -37.49531871 2 1
378629 -10.61714593 3.51461687 -39.18650579 2 1
378631 -8.82140914 3.55052862 -37.46764194 2 1
378639 -1.86718928 3.47928254 -37.40803856 2 1
378641 -71.44133520 7.17297894 -39.27206738 2 1
378643 -69.58786024 7.18680710 -37.55766375 2 1
378695 -23.25245387 7.27224656 -37.39945447 2 1
378699 -19.57138450 7.16501095 -37.44247245 2 1
378711 -8.85115937 7.20921164 -37.42832058 2 1
378718 -1.82319385 8.95011664 -39.17300082 2 1
378723 -69.71970337 10.71363348 -37.47293586 2 1
378729 -64.38122828 10.77678459 -39.28845467 2 1
378730 -62.56393068 12.45394385 -39.12294269 2 1
378732 -64.42547436 12.54529469 -37.38080514 2 1
378734 -58.89192323 12.53559164 -39.21888973 2 1
378735 -59.02446317 10.74065107 -37.60503276 2 1
378738 -55.45272078 12.48564777 -39.31829684 2 1
378740 -57.21342992 12.57553584 -37.38157396 2 1
378744 -53.65141272 12.48142874 -37.65365904 2 1
378917 -3.51903522 -10.59450138 -35.68464377 2 1
379075 -5.39076836 -3.61929265 -34.01962885 2 1
379162 -69.58432177 5.37902934 -35.64141844 2 1
379164 -71.39973140 5.35898403 -33.83207741 2 1
379171 -62.52920727 3.61184893 -33.89761969 2 1
379172 -64.42700022 5.30398073 -33.92275816 2 1
379219 -19.68866565 3.50460005 -33.83780079 2 1
379233 -7.13620267 3.67485203 -35.59232483 2 1
379241 -71.35524887 7.08616278 -35.75973911 2 1
379249 -64.34505437 7.07052378 -35.70076088 2 1
379253 -60.68267317 7.07745656 -35.80533488 2 1
379254 -59.08261887 8.96455689 -35.71802386 2 1
379255 -58.91121698 7.06701839 -33.99940453 2 1
379258 -55.52567469 8.97746064 -35.80403270 2 1
379303 -16.08571622 7.20831708 -33.79396749 2 1
379309 -10.69513739 7.14143973 -35.73974402 2 1
379331 -62.58683213 10.56022957 -33.96703009 2 1
379336 -60.79566586 12.55762217 -33.99365319 2 1
379338 -55.40029057 12.52960717 -35.83161313 2 1
379340 -57.19680020 12.48177540 -33.93625700 2 1
379439 -1.83742192 -12.46932347 -32.11528963 2 1
379748 -14.30968677 1.82556882 -30.35796200 2 1
379760 -3.56687118 1.75669574 -30.25236282 2 1
379778 -55.37654041 5.34822950 -32.20922127 2 1
